,AAPL,MSFT,GOOGL,AMZN,TSLA,META,NFLX,NVDA,IBM,INTC
AAPL,0.00039959275484882976,0.0002529876478488357,0.00024274024322687722,0.00022787952639046773,0.0003239051703084309,0.00027974171047689934,0.0002207932687554518,0.00037034792598018666,0.00017283925694980013,0.00025895240979686643
MSFT,0.0002529876478488357,0.0003652452272596238,0.00023955177773063948,0.0002248862608423406,0.00031965057928614134,0.0002760672196720085,0.00021789308331495884,0.0003654832955097979,0.00017056896175748323,0.0002555509926571743
GOOGL,0.00024274024322687722,0.00023955177773063948,0.0004054524142728741,0.00021577711844599827,0.00030670295575020603,0.0002648849642263651,0.0002090672034427975,0.0003506791924498194,0.00016365997160741597,0.00024519975833578185
AMZN,0.00022787952639046773,0.0002248862608423406,0.00021577711844599827,0.00048785093669841595,0.0002879263997176998,0.00024866853305178095,0.00019626797217878504,0.0003292103823747354,0.0001536406008463862,0.00023018846837189082
TSLA,0.0003239051703084309,0.00031965057928614134,0.00030670295575020603,0.0002879263997176998,0.0016567783958601596,0.00035345440998710975,0.0002789728939743794,0.0004679356090449239,0.0002183828699826544,0.0003271870721868983
META,0.00027974171047689934,0.0002760672196720085,0.0002648849642263651,0.00024866853305178095,0.00035345440998710975,0.000778837798434803,0.00024093580989390054,0.00040413404806915944,0.00018860704671564777,0.00028257613526927174
NFLX,0.0002207932687554518,0.00021789308331495884,0.0002090672034427975,0.00019626797217878504,0.0002789728939743794,0.00024093580989390054,0.0008354290320980932,0.0003189730889127851,0.00014886291459241971,0.00022303041070286647
NVDA,0.00037034792598018666,0.0003654832955097979,0.0003506791924498194,0.0003292103823747354,0.0004679356090449239,0.00040413404806915944,0.0003189730889127851,0.0010605053686068957,0.00024969543675595863,0.0003741003994365489
IBM,0.00017283925694980013,0.00017056896175748323,0.00016365997160741597,0.0001536406008463862,0.0002183828699826544,0.00018860704671564777,0.00014886291459241971,0.00024969543675595863,0.0002770189877546118,0.00017459051483035916
INTC,0.00025895240979686643,0.0002555509926571743,0.00024519975833578185,0.00023018846837189082,0.0003271870721868983,0.00028257613526927174,0.00022303041070286647,0.0003741003994365489,0.00017459051483035916,0.0006119215029562464
